athlete_id,games,year,season,city,sport,event,medal
7188,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Marathon,NA
7189,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",NA
7189,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",NA
7189,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",NA
7189,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",NA
7190,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",NA
7190,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",NA
7190,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",NA
7191,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Men's Two Person Dinghy,NA
7192,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,NA
7193,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,NA
7194,1960 Summer,1960,Summer,Roma,Modern Pentathlon,Modern Pentathlon Men's Individual,NA
7194,1960 Summer,1960,Summer,Roma,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
7194,1968 Summer,1968,Summer,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
7194,1968 Summer,1968,Summer,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
7194,1972 Summer,1972,Summer,Munich,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
7194,1972 Summer,1972,Summer,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
7195,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA
7196,1936 Summer,1936,Summer,Berlin,Weightlifting,Weightlifting Men's Lightweight,NA
7197,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Fours,NA
7197,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxless Pairs,NA
7197,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,NA
7198,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,NA
7199,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,NA
7200,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,NA
7201,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Featherweight, Freestyle",NA
7202,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,NA
7203,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",NA
7203,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",NA
7204,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Women's Singles,NA
7205,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Windsurfer,NA
7206,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Individual,NA
7207,2012 Summer,2012,Summer,London,Football,Football Men's Football,NA
7208,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,NA
7209,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
7210,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 20 kilometres Walk,NA
7211,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Rifle, 10 metres",NA
7211,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
7212,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Foil, Team",Gold
7212,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Sabre, Individual",NA
7212,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Sabre, Team",Gold
7213,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,NA
7214,1976 Summer,1976,Summer,Montreal,Shooting,Shooting Mixed Trap,Bronze
7215,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke,NA
7215,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Breaststroke,NA
7216,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,NA
7217,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",NA
7217,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Team",Gold
7217,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",NA
7218,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Individual",Gold
7218,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",NA
7219,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 5,000 metres",NA
