id,name,sex,height,weight,team
5027,"Edwin Yancey ""Eddie"" Argo",M,0,0,United States
5028,Artyom Vladimirovich Argokov,M,180,81,Kazakhstan
5029,Agustn Argote Marqunez,M,168,62,Spain
5030,Klber Marie Argouac'h,M,0,0,France
5031,John Clifford Argue,M,180,66,United States
5032,Humberto Arguedas,M,174,66,Peru
5033,Betzabeth Anglica Argello Villegas,F,164,53,Venezuela
5034,Juan Argello Sandoval,M,155,55,Nicaragua
5035,Ricardo Arguello,M,0,0,Mexico
5036,Georgios Argyropoulos,M,172,58,Greece
5037,Mihails Arhipovs,M,183,95,Latvia-2
5038,Alphonse Aria,M,162,58,France
5039,I Ketut Ariana,M,167,69,Indonesia
5040,Antonius Budi Ariantho,M,170,66,Indonesia-1
5041,Alexis Arias Mestre,M,177,72,Cuba
5042,Bernardo Arias,M,166,62,Peru
5043,Cndida Estefany Arias Prez,F,194,68,Dominican Republic
5044,Carolina Arias Vidal,F,159,52,Colombia
5045,Ismely Arias Castillo,M,170,63,Cuba
5046,Jhon Ramiro Arias Snchez,M,167,60,Colombia
5047,Jorge Arias,M,0,0,Peru
5048,Jos Arias Carraln,M,0,0,Spain
5049,Juan Carlos Arias Acosta,M,175,68,Colombia
5050,Kellys Yesenia Arias Figueroa,F,150,47,Colombia
5051,Luis Arias Carraln,M,0,0,Spain
5052,Katherine Nataly Arias Pea,F,172,62,Colombia
5053,Pol Arias Dourdet,M,175,80,Andorra
5054,Ramn Gines Arias Quinteros,M,178,72,Uruguay
5055,Wellington Arias Romero,M,170,0,Dominican Republic
5056,Ferhat Arcan,M,178,68,Turkey
5057,Fikret Arcan,M,0,0,Turkey
5058,"Marcus Mills Pomeroy ""Mark"" Arie",M,0,0,United States
5059,Gideon Ariel,M,184,100,Israel
5060,Luigi Arienti,M,168,65,Italy
5061,Hussain Arif,M,170,68,Pakistan
5062,Achad Arifin,M,0,0,Indonesia
5063,Jean-Claude Arifon,M,185,75,France
5064,Liliana Beatriz Arigoni,F,183,68,Argentina
5065,Polat Kemboi Arkan,M,175,59,Turkey
5066,Mehmet Saim Arkan,M,0,0,Turkey
5067,Thomas Arimi,M,0,0,Ghana
5068,Yosuke Arimitsu,M,166,57,Japan
5069,Yuko Arimori (-Wilson),F,166,47,Japan
5070,Hikoroku Arimoto,M,0,0,Japan
5071,Shuji Arinaga,M,187,83,Japan
5072,Yoshiharu Arino,M,163,59,Japan
5073,Roberto Antonio Arioldi,M,174,72,Italy
5074,Magomed Davudovich Aripgadzhiyev,M,185,81,Azerbaijan
5075,Dilshod Aripov,M,170,60,Uzbekistan
5076,Alessia Arisi,F,165,60,Italy
5077,Pedro Arispe,M,0,0,Uruguay
5078,Jos Mara Aristegui Isasa,M,183,85,Spain
5079,Vctor Hugo Aristizbal Posada,M,181,0,Colombia
5080,Lina Aristodimou (-Kouyoumdjian),F,162,51,Cyprus
5081,Sokratis Aristodimou,M,0,0,Cyprus
5082,Yury Aristov,M,187,77,Uzbekistan
5083,Francisco Javier Aristu Lozano,M,171,75,Spain
5084,Rutger Willem Hendrik Arisz,M,196,94,Netherlands
5085,Ramil Kamilyevich Aritkulov,M,178,67,Russia
5086,Francisco Aritmendi Criado,M,157,53,Spain
5087,Panus Ariyamongkol,M,159,51,Thailand
5088,Surapong Ariyamongkol,M,160,50,Thailand
5089,Natalia Ariza Daz,F,160,52,Colombia
5090,Tatiana Ariza Daz,F,161,52,Colombia
5091,Wilma Yanet Arizapana Yucra,F,164,54,Peru
5092,Mohamed Al-Arjaoui,M,185,91,Morocco
5093,William Peixoto Arjona,M,186,78,Brazil
5094,Boonsong Arjtaweekul,M,169,55,Thailand
5095,Taweesit Arjtaweekul,M,173,59,Thailand
5096,Simon Graham Arkell,M,185,78,Australia
5097,Vadim Arkhipchuk,M,182,75,Soviet Union
5098,Anna Arkhipenko,F,175,62,Belarus
5099,Andrey Arkhipov,M,0,0,Soviet Union
5100,Dmitry Nikolayevich Arkhipov,M,179,68,Russia
5101,Yevgeny Valeryevich Arkhipov,M,180,0,Russia
5102,Anna Valeryevna Arkhipova,F,176,63,Russia
5103,Yuliya Vladimirovna Arkhipova-Andreyeva,F,168,51,Kyrgyzstan
5104,Lazaros Arkhontopoulos,M,170,67,Greece
5105,Gregory Arkhurst,M,182,81,Cote d'Ivoire
5106,Vasyl Albertovych Arkhypenko,M,178,65,Soviet Union
5107,"Konstantinos ""Kostas"" Arkoudeas",M,162,66,Greece
5108,Arlene de Queiroz Xavier,F,177,74,Brazil
5109,Fernando Arlete,M,0,0,Guinea Bissau
5110,Fernando Arlete,M,174,63,Guinea Bissau
5111,Bernard Arlin,M,180,73,France
5112,Gaston F. M. Arlin,M,0,0,France
5113,"Catherine Marie Joelle ""Cath"" Arlove",F,168,64,Australia
5114,Vyninka Rae Robyn Arlow,F,163,53,Australia
5115,Friederike Arlt,F,168,42,Germany
5116,Maike Arlt,F,174,65,East Germany
5117,Tobias Arlt,M,178,77,Germany-1
5118,Grace Armah,F,160,56,Ghana
5119,Cihat Arman,M,0,0,Turkey
5120,douard B. Armand,M,0,0,Haiti
5121,Daniel Dominique Hubert  Armand-Delille,M,170,0,France
5122,Armando da Silva Martins,M,0,0,Portugal
5123,Rushdy Armanios,M,168,64,Egypt
5124,Carl Nils Gabriel rmann,M,0,0,Sweden
5125,Mario Armano,M,180,85,Italy-1
5126,Manuel Armanqu Feliu,M,0,0,Spain
5127,Alina Armas,F,166,53,Namibia
5128,Dumitru Armel,M,0,0,Romania
5129,Mihaela Armescu,F,180,74,Romania
5130,Barbara Armbrust,F,180,79,Canada
5131,Stefan Armbruster,M,165,50,West Germany
5132,Eduardo Florentino Armella,M,165,78,Argentina
5133,Pedro Armella,M,170,78,Argentina
5134,Romina Armellini,F,171,63,Italy
5135,Egidio Armelloni,M,0,0,Italy
5136,Margarita Armengol Fuster,F,165,59,Spain
5137,Jaime Armengold Clotet,M,184,78,Spain
5138,Marie-Thrse Armentero (-Fuzzati),F,164,67,Switzerland
5139,Jos Alexis Armenteros Surez,M,189,100,Cuba
5140,Olof Gustaf Armgarth,M,0,0,Sweden
5141,Fernando Armin Lauffen,M,0,0,Spain
5142,Ethel Isabel Armitage (MacLaren-),F,0,0,Great Britain
5143,"Heather Joy Armitage (-Young, -McClelland)",F,171,64,Great Britain
5144,"Elizabeth Mary ""Lizzie"" Armitstead (-Deignan)",F,168,55,Great Britain
5145,Regyna Armonas,F,176,70,Canada
5146,George Denholm Armour,M,0,0,Great Britain
5147,John Taylor Arms,M,182,0,United States
5148,Michael Arms,M,199,95,New Zealand
5149,"Raymond Richard ""Ray"" Armstead",M,187,76,United States
5150,Aaron Nigel Armstrong,M,173,70,Trinidad and Tobago
5151,Ainsley Edward Armstrong,M,180,70,Trinidad and Tobago
5152,"Elizabeth ""Betsey"" Armstrong",F,188,77,United States
5153,Charles Ewing Armstrong,M,0,0,Vesper Boat Club
5154,"David Lee ""Davey"" Armstrong",M,175,57,United States
5155,David Armstrong,M,180,87,Great Britain-2
5156,"Debra Rae ""Debbie"" Armstrong",F,165,62,United States
5157,Desmond Kevin Armstrong,M,183,79,United States
5158,Duncan John D'Arcy Armstrong,M,187,74,Australia
5159,Dylan Armstrong,M,190,125,Canada
5160,Beatrice Eileen Armstrong (-Purdy),F,0,0,Great Britain
5161,Gary Armstrong,M,181,65,Great Britain
5162,Ivan Desmond Armstrong,M,0,0,New Zealand
5163,"Jennifer Margaret ""Jenny"" Armstrong",F,171,59,New Zealand
5164,"Jeremy Lee ""Jerry"" Armstrong",M,161,54,United States
5165,"James Michael ""Jim"" Armstrong",M,0,0,Australia
5166,"Kenneth ""Ken"" Armstrong",M,0,0,Canada
5167,Kristin Ann Armstrong (-Savola),F,173,58,United States
